Unnamed: 0,Property Name,price,type,Area in sq ft,bedrooms,No. of Bathrooms,No. of Receptions,Location,city,Postal Code
12,Ashley Park Avenue,2795000,House,5294,5,5,5,Walton-on-Thames,Surrey,KT12 1ER
16,Cambridge Park,1450000,Flat / Apartment,1702,3,3,3,,Twickenham,TW1 2PF
17,Hazelwood Lane,1250000,House,3503,6,6,6, Coulsdon,Surrey,CR5 3QW
28,Ditton Grove,374950,New development,664,2,2,2,Esher,Surrey,KT10 9FN
29,Roymount Court,400000,Flat / Apartment,805,2,2,2, Surbiton,Surrey,KT6 6NW
47,Ashley Park Avenue,3450000,House,5599,6,6,6,Walton-on-Thames,Surrey,KT12 1EU
63,Hampermill Lane,1675000,House,5022,3,3,3,Watford,Hertfordshire,WD19 4PL
64,Gatehill Road,2595000,House,4858,6,6,6,Northwood,Middlesex,HA6 3QF
68,Nicholas Way,2500000,House,5999,7,7,7,Northwood,Middlesex,HA6 2TR
75,Weston Park,1050000,House,1693,4,4,4,Thames Ditton,Surrey,KT7 0HQ
88,West Grove,525000,House,829,2,2,2,Woodford Green,Essex,IG8 7NP
91,Seymour Gardens,1200000,House,2108,4,4,4,Surbiton,Surrey,KT5 8QE
110,Stanmore Way,1225000,New development,2487,5,5,5,Loughton,Essex,IG10 2SA
113,Ditton Grove,399950,New development,697,2,2,2,Esher,Surrey,KT10 9FN
114,Sylvan Gardens,1499950,House,2982,5,5,5,Surbiton,Surrey,KT6 6PP
122,Smarts Lane,695000,House,1337,3,3,3,Loughton,Essex,IG10 4BU
127,Elizabeth Place,625000,Flat / Apartment,902,2,2,2, Esher,Surrey,KT10 8AP
134,Ruxley Crescent,1800000,New development,3877,4,4,4, Esher,Surrey,KT10 0TX
138,Crescent Road,1855000,House,2917,5,5,5,Kingston upon Thames,Surrey,KT2 7RD
141,Spring Terrace,5250000,House,4745,7,7,7,Richmond,Surrey,TW9 1LW
142,Montague Road,6000000,House,4798,6,6,6,Richmond,Surrey,TW10 6QW
182,Selborne Villas,1150000,House,2357,4,4,4, Esher,Surrey,KT10 9UD
194,The Grange,1050000,House,2375,5,5,5, Walton-on-Thames,Surrey,KT12 3HN
198,Littleworth Avenue,2795000,House,6061,7,7,7,Esher,Surrey,KT10 9PB
199,Ruxley Crescent,1750000,New development,3913,4,4,4, Esher,Surrey,KT10 0TX
213,Corkran Road,1595000,House,3261,5,5,5,Surbiton,Surrey,KT6 6PN
216,Oxhey Road,850000,House,1687,4,4,4,Oxhey,Hertfordshire,WD19 4QG
224,Harper Lane,1650000,House,4016,8,8,8, Radlett,Hertfordshire,WD7 9HJ
242,Grand Avenue,500000,House,963,2,2,2,Surbiton,Surrey,KT5 9HU
246,The Spinney,2395000,House,4966,5,5,5, Oxshott,Surrey,KT22 0PL
252,The Mount,3650000,House,8034,6,6,6,Esher,Surrey,KT10 8LQ
264,Tormead,600000,Flat / Apartment,1160,2,2,2, Northwood,Middlesex,HA6 2BX
271,Lynwood Road,825000,House,2094,4,4,4,Thames Ditton,Surrey,KT7 0DJ
275,Ducks Hill Road,1000000,New development,1501,3,3,3,Northwood,Middlesex,HA6 2SB
290,St. Marys Road,2900000,House,5896,7,7,7, Surbiton,Surrey,KT6 5EY
302,High Road,650000,House,1783,3,3,3, Coulsdon,Surrey,CR5 3SD
328,Leys Road,4825000,House,10475,7,7,7,Oxshott,Surrey,KT22 0QE
334,Hazelwood Drive,775000,Bungalow,1459,4,4,4,Pinner,Middlesex,HA5 3TT
348,Paxton Close,699950,House,909,3,3,3,Richmond,Surrey,TW9 2AW
349,Hardwicke House,665000,Flat / Apartment,935,3,3,3, Richmond,Surrey,TW10 6PW
351,Westminster Close,1550000,House,3112,5,5,5,Northwood,Middlesex,HA6 2TG
354,Barclay Oval,1100000,House,3153,5,5,5,Woodford Green,Essex,IG8 0PP
360,Waynflete House,575000,Penthouse,1029,3,3,3, Esher,Surrey,KT10 9QS
361,94 Claygate,334950,Flat / Apartment,477,1,1,1, Claygate,Surrey,KT10 0RB
363,Queens Road,750000,House,1510,3,3,3,Thames Ditton,Surrey,KT7 0QX
364,Southborough Road,2100000,New development,3596,5,5,5,Surbiton,Surrey,KT6 6JN
365,Pavilion Park,1299000,New development,1903,4,4,4, East Molesey,Surrey,KT8 9DX
380,Hilltop,1050000,House,2254,5,5,5,Loughton,Essex,IG10 1PX
397,Church Road,550000,Flat / Apartment,582,2,2,2,Richmond,Surrey,TW9 1UA
400,Regents Drive,950000,House,1857,4,4,4,Woodford Green,Essex,IG8 8RZ
401,Piercing Hill,799999,House,1507,4,4,4, Epping,Essex,CM16 7JN
410,Octavia House,615000,Flat / Apartment,797,1,1,1,Imperial Wharf,Fulham,SW6 2FH
414,Evelyn Road,1285000,House,1476,3,3,3,Richmond,Surrey,TW9 2TF
421,Stokesheath Road,4650000,House,7996,6,6,6,Oxshott,Surrey,KT22 0PN
422,Tile Kiln Lane,1695000,House,6356,6,6,6, Uxbridge,Middlesex,UB9 6LU
426,Cottimore Avenue,649950,House,1378,4,4,4,Walton-on-Thames,Surrey,KT12 2AE
432,Burwood Park Road,1295000,House,2371,5,5,5, Walton-on-Thames,Surrey,KT12 5LJ
433,Forge Lane,975000,House,1201,3,3,3,Richmond,Surrey,TW10 7BF
434,High Oaks Close,1100000,House,3185,5,5,5,Coulsdon,Surrey,CR5 3EZ
438,Turpins Lane,700000,House,1441,4,4,4,Woodford Green,Essex,IG8 8AZ
449,Trystings Close,1125000,House,2495,5,5,5, Esher,Surrey,KT10 0TF
457,Onslow Road,800000,Flat / Apartment,734,2,2,2,Richmond,Surrey,TW10 6QH
458,Old Oak Avenue,950000,House,3006,5,5,5, Coulsdon,Surrey,CR5 3PG
473,Chestnut Court,500000,Flat / Apartment,872,2,2,2, Northwood,Middlesex,HA6 3NL
506,Southborough Road,1995000,New development,3510,5,5,5,Surbiton,Surrey,KT6 6JN
517,Kingston Hill,2395000,House,3498,5,5,5,Kingston upon Thames,Surrey,KT2 7LN
524,St. Johns Road,1895000,House,2564,5,5,5,Richmond,Surrey,TW9 2PE
533,Esher Place Avenue,2150000,House,3177,5,5,5,Esher,Surrey,KT10 8PY
534,Common Road,785000,New development,1474,3,3,3, Esher,Surrey,KT10 0HG
536,Sheen Road,2850000,House,5130,7,7,7,Richmond,Surrey,TW10 5AL
537,Birds Hill Drive,5950000,New development,11716,6,6,6,Oxshott,Surrey,KT22 0SW
555,Ashburnham Park,2995000,House,5614,6,6,6,Esher,Surrey,KT10 9TW
556,Claremont Drive,2250000,House,3661,4,4,4,Esher,Surrey,KT10 9LU
557,Sandown Road,2995000,House,7087,7,7,7,Esher,Surrey,KT10 9TT
558,Pavilion Park,1100000,New development,1629,3,3,3, East Molesey,Surrey,KT8 9DX
559,Berwyn Road,3350000,House,3770,6,6,6,Richmond,Surrey,TW10 5BP
571,Scotland Road,995000,House,1706,5,5,5,Buckhurst Hill,Essex,IG9 5NP
584,Wieland Road,1395000,House,2141,4,4,4,Northwood,Middlesex,HA6 3RD
585,Ravenswood Park,799950,House,1519,4,4,4,Northwood,Middlesex,HA6 3PS
586,Grove Lane,975000,Bungalow,2169,3,3,3,Chigwell,Essex,IG7 6JD
595,Herne Road,1450000,House,2523,4,4,4,Surbiton,Surrey,KT6 5BX
616,Portland Terrace,775000,Flat / Apartment,705,2,2,2, Richmond,Surrey,TW9 1QQ
617,Eastbury Road,975000,House,1200,3,3,3,Northwood,Middlesex,HA6 3AJ
622,Chatsworth Place,1595000,House,3069,5,5,5,Oxshott,Surrey,KT22 0SS
637,Upper Richmond Road West,1225000,House,1633,4,4,4,Richmond,Surrey,TW10 5DY
652,Queens Road,775000,House,1169,3,3,3,,Twickenham,TW1 4ET
653,Church Road,550000,Flat / Apartment,676,2,2,2,Richmond,Surrey,TW10 6LN
654,High Road,1500000,House,4023,7,7,7, Coulsdon,Surrey,CR5 3QN
666,Whitehall Lane,1000000,House,2000,4,4,4,Buckhurst Hill,Essex,IG9 5JG
667,Baldwins Hill,1250000,House,2244,4,4,4,Loughton,Essex,IG10 1SD
677,Manor Road South,1349950,House,2986,5,5,5,Esher,Surrey,KT10 0QQ
678,Grove Road,1350000,House,1890,4,4,4,East Molesey,Surrey,KT8 9JS
680,Milbourne Lane,625000,House,968,3,3,3,Esher,Surrey,KT10 9EA
681,Matham Road,2250000,House,4312,5,5,5,East Molesey,Surrey,KT8 0SX
682,Sandown Road,2350000,House,3861,5,5,5,Esher,Surrey,KT10 9TU
683,Manor Drive,900000,House,1437,3,3,3,Esher,Surrey,KT10 0AU
700,Newlands Close,375000,House,880,3,3,3, Walton-on-Thames,Surrey,KT12 4PW
705,The Green,4495000,House,4063,6,6,6,Richmond,Surrey,TW9 1PX
706,Sandy Lane,1350000,Bungalow,2912,4,4,4,Northwood,Middlesex,HA6 3ER
717,River Bank,520000,Flat / Apartment,944,2,2,2,East Molesey,Surrey,KT8 9BH
738,Ormond Avenue,1650000,House,1750,4,4,4,Richmond,Surrey,TW10 6TN
759,Adela Avenue,765000,House,1500,4,4,4,New Malden,Surrey,KT3 6LE
760,Hersham Road,1250000,House,2502,5,5,5,Walton-on-Thames,Surrey,KT12 1LL
771,Ember Lane,925000,House,1270,4,4,4,Esher,Surrey,KT10 8ER
796,The Chase,700000,House,1174,4,4,4,Loughton,Essex,IG10 4RE
797,Piercing Hill,1350000,House,2312,4,4,4, Epping,Essex,CM16 7JW
802,Carleton Close,1275000,House,2344,5,5,5,Esher,Surrey,KT10 8EE
821,Strawberry Vale,1999995,House,2537,5,5,5,,Twickenham,TW1 4RX
824,Woodhouse Eaves,1050000,House,1677,4,4,4,Northwood,Middlesex,HA6 3NF
832,Palace Road,2950000,House,4389,6,6,6,East Molesey,Surrey,KT8 9DW
849,Winterdown Road,675000,House,915,2,2,2,Esher,Surrey,KT10 8LP
866,The Green,525000,Flat / Apartment,1299,3,3,3, Buckhurst Hill,Essex,IG9 5NQ
870,Parkhill,2100000,Flat / Apartment,2810,3,3,3, Esher,Surrey,KT10 9NP
871,Greenways,1000000,House,2590,4,4,4,Esher,Surrey,KT10 0QD
886,Northumberland Place,2950000,House,2400,3,3,3,Richmond,Surrey,TW10 6TS
890,Victoria Avenue,1495000,House,2566,5,5,5,Surbiton,Surrey,KT6 5DL
891,Arnison Road,2250000,House,3364,5,5,5,East Molesey,Surrey,KT8 9JJ
892,Upper Richmond Road West,1250000,House,2032,6,6,6,Richmond,Surrey,TW10 5DY
903,Edge Apartments,995000,Flat / Apartment,1243,2,2,2, Twickenham,Middlesex,TW1 4RX
904,Church Road,3450000,House,3825,5,5,5, Richmond,Surrey,TW10 5HG
